ExampleA	ExampleA
Reference pedigree	Family tree
0.122534	80.8386
0.121598	80.049
0.120652	79.0567
0.119814	78.2436
0.11952	78.2205
0.118889	78.0645
0.118801	77.2211
0.11811	76.556
0.118108	75.7707
0.117447	72.2106
0.115534	71.6253
0.115159	71.459
0.114608	71.0838
0.114394	70.6648
0.113011	70.3406
0.112948	70.0878
0.112512	70.0123
0.111783	70.0016
0.110812	68.4965
0.109658	68.2611
0.108855	67.546
0.108285	66.9993
0.106274	66.8761
0.105879	66.1993
0.105225	66.0795
0.104542	65.4458
0.104523	64.8669
0.103834	64.4562
0.103394	64.0522
0.103268	63.753
0.10324	63.3322
0.10241	63.3185
0.101498	62.5306
0.100855	61.3831
0.0988388	60.8526
0.0987945	60.146
0.098666	59.8925
0.0986267	59.3686
0.097656	58.9263
0.0975463	58.2504
0.0974387	56.9741
0.0962865	56.8313
0.0962345	56.6009
0.0943528	56.5619
0.0936559	56.146
0.0935618	55.8198
0.0932596	54.9642
0.0930331	54.1439
0.092851	53.5875
0.0924243	53.5308
0.0923524	53.4593
0.0920616	53.3774
0.0920591	52.9652
0.0920426	52.6635
0.0915566	51.3539
0.091549	51.3425
0.09065	50.9122
0.0900049	50.5004
0.0896135	50.1664
0.0877996	50.1601
0.0875373	50.1424
0.0867049	49.7111
0.0855099	49.6821
0.0847648	49.528
0.0845678	49.3559
0.0843009	49.1453
0.0841091	48.434
0.083571	48.3658
0.0834855	48.3523
0.0834741	47.8009
0.083361	47.5118
0.0828476	47.2913
0.0818943	47.0862
0.0815441	47.0775
0.08152	45.1559
0.0811288	45.1005
0.0807767	44.4285
0.0807076	44.3834
0.0797226	44.2219
0.0795441	43.7253
0.079333	43.7204
0.079292	43.6964
0.0792809	43.5795
0.0776895	43.4415
0.0768439	43.2797
0.0765622	43.2388
0.0764781	43.1194
0.075652	43.1022
0.0752042	43.0578
0.0750965	43.0021
0.0744472	42.7255
0.0743056	42.7085
0.07405	42.7026
0.0734584	42.5217
0.0733441	42.3794
0.0719045	42.2056
0.0714198	40.9762
0.070828	40.9021
0.0705444	40.8017
0.0700937	40.405
0.0699458	39.8072
0.0698418	39.2977
0.0697356	38.6312
0.0697	38.5675
0.0693916	38.2732
0.0689757	38.1667
0.0687697	37.9911
0.0684301	37.3834
0.0679152	36.8201
0.0670998	36.7106
0.0659422	36.4376
0.0654217	36.134
0.0654132	35.4611
0.0654072	35.3966
0.0646729	35.2727
0.0646421	34.9906
0.0646342	34.9432
0.0646114	34.7594
0.0639885	34.4013
0.0638286	34.0046
0.0637488	33.8815
0.0634926	33.8411
0.063426	33.6952
0.0633029	33.2639
0.0631589	32.9013
0.0627661	32.6717
0.0626914	32.5874
0.0626461	32.5475
0.0626067	31.8322
0.0624202	31.8265
0.0620449	31.7701
0.0612064	31.2186
0.060895	31.1529
0.0608519	30.7703
0.0607733	30.6686
0.0601552	30.6656
0.0600296	30.2829
0.0597573	30.1121
0.0591798	29.9288
0.0582767	29.5844
0.0581857	28.9361
0.057728	28.9116
0.057725	28.7862
0.0574961	28.4865
0.0570465	28.1141
0.0566365	27.9674
0.0564627	27.6568
0.0562321	27.4465
0.0561267	27.3176
0.0559053	27.2641
0.0558212	27.2361
0.0557827	27.2295
0.05498	27.153
0.0541163	26.8518
0.0538448	26.8044
0.0534087	25.7719
0.0528171	25.7192
0.0527687	25.1789
0.0525097	24.8003
0.0521686	24.6663
0.0519541	24.5898
0.0510046	24.5808
0.0507252	24.3591
0.0506765	24.2658
0.0506619	24.2314
0.0502821	23.903
0.0502135	23.5007
0.0501258	23.3375
0.0495758	22.768
0.0493254	22.6707
0.0492778	22.3784
0.0489856	22.2388
0.0487973	22.0937
0.0486297	21.8606
0.048523	21.8532
0.0484342	21.7835
0.0484089	21.2314
0.0478949	21.0944
0.0473706	20.5806
0.0473055	19.9544
0.0472124	19.9441
0.0471969	19.938
0.0467503	19.9188
0.0466962	19.8597
0.0465391	19.6754
0.0462477	19.6179
0.0458921	19.4614
0.0454942	19.4328
0.0451126	19.3763
0.0449253	19.2607
0.0442391	19.1906
0.0438588	19.0773
0.0437052	19.0307
0.043597	18.7266
0.0434748	18.7015
0.0431536	18.6943
0.042949	18.648
0.0425555	18.4932
0.0423819	18.4522
0.0421401	18.4432
0.0420171	18.2954
0.0418993	17.9469
0.0417775	17.9254
0.041536	17.8888
0.0414237	17.7379
0.0410175	17.662
0.0409521	17.5223
0.0409498	17.5219
0.0405907	17.3023
0.0404077	17.2718
0.0402105	17.1783
0.0401991	16.9543
0.0401184	16.9022
0.0400319	16.8098
0.0399447	16.5759
0.0398944	16.5471
0.0398497	16.5084
0.0397751	16.3934
0.0394692	16.3543
0.0388524	16.2841
0.0387852	16.2616
0.0385329	16.2398
0.0383179	16.1559
0.0377753	16.1068
0.0375765	16.0255
0.0375284	15.9684
0.0372621	15.8251
0.037179	15.7989
0.0371283	15.7097
0.0367329	15.6395
0.0362346	15.4933
0.0361057	15.4652
0.0357664	15.4294
0.0357615	15.4183
0.0355712	15.2991
0.0353958	15.2964
0.0350461	15.113
0.0346667	15.1007
0.0346665	14.928
0.0340739	14.9213
0.033829	14.7428
0.0333613	14.6403
0.0333555	14.6087
0.0333358	14.5832
0.0328792	14.5741
0.0327597	14.458
0.032621	14.3981
0.0326003	14.3639
0.032469	14.0257
0.0323903	13.9543
0.0322893	13.8891
0.0322718	13.6556
0.0321535	13.6105
0.0321308	13.6022
0.032125	13.4066
0.0320094	13.3584
0.0316218	13.3496
0.031082	13.3411
0.0310106	13.2108
0.0309044	13.1984
0.0309004	13.1093
0.0308836	12.8871
0.030872	12.8605
0.0308682	12.8316
0.0306706	12.8086
0.0306247	12.7085
