Ejemplo_TP	Ejemplo_RP
264.707	4.98252
264.47	4.9336
263.845	4.90515
262.406	4.87572
261.818	4.874
261.629	4.87311
261.166	4.83728
260.483	4.82591
260.211	4.82228
260.143	4.79951
258.902	4.79614
258.818	4.7846
256.803	4.78134
256.672	4.77627
256.549	4.77523
255.864	4.75878
255.833	4.74978
255.365	4.73121
254.619	4.71709
254.169	4.69536
253.359	4.68628
252.617	4.6841
251.18	4.68022
250.904	4.6766
250.497	4.67081
249.739	4.66342
249.479	4.64619
248.945	4.64045
248.738	4.63145
247.47	4.63145
247.262	4.62985
247.166	4.60151
247.105	4.5969
245.766	4.59371
245.445	4.5881
244.153	4.56072
243.997	4.52909
243.995	4.52561
243.802	4.52128
243.111	4.49764
242.203	4.49653
241.873	4.46959
241.544	4.4611
240.825	4.45788
240.457	4.44536
239.578	4.42558
237.877	4.37394
237.855	4.36644
237.244	4.35312
236.273	4.34154
235.765	4.3407
233.358	4.34006
233.196	4.29771
229.613	4.29393
229.316	4.28916
229.081	4.27779
229.068	4.27407
228.739	4.26982
228.035	4.26572
227.942	4.25325
226.795	4.24188
226.733	4.22315
226.601	4.2219
225.071	4.21487
224.911	4.21341
224.571	4.20381
223.831	4.1831
221.655	4.1719
221.586	4.14235
220.051	4.1274
219.906	4.1201
218.085	4.11359
217.675	4.105
217.293	4.07776
215.189	4.06814
214.469	4.06108
214.215	4.05214
213.877	4.04816
213.155	4.03733
212.371	4.02813
212.355	4.02429
212.181	4.01669
211.254	4.00961
209.968	3.9816
208.857	3.96538
207.187	3.96188
206.099	3.95833
205.955	3.95462
205.633	3.95223
205.168	3.94757
205.094	3.94569
204.95	3.93879
204.768	3.93233
204.479	3.91788
203.921	3.91474
203.407	3.90656
202.678	3.87989
201.935	3.87769
201.665	3.87319
201.607	3.86026
201.467	3.85153
200.92	3.84963
200.893	3.83743
199.118	3.83581
199.094	3.82165
196.991	3.81531
196.622	3.8103
195.054	3.80961
194.942	3.79567
193.769	3.79173
192.95	3.78259
191.965	3.76867
191.695	3.74831
191.431	3.74741
191.096	3.74559
190.919	3.73925
190.386	3.73469
190.237	3.72633
189.583	3.72628
189.264	3.71174
188.458	3.70335
188.397	3.69946
187.71	3.69734
187.65	3.69573
186.897	3.69525
186.72	3.68739
186.459	3.68225
186.319	3.67411
186.275	3.6657
186.184	3.66068
185.936	3.63951
185.644	3.62533
185.605	3.60985
185.147	3.60095
183.307	3.58615
183.157	3.58173
183.019	3.5676
182.265	3.54639
181.789	3.52467
181.174	3.5138
180.683	3.51335
180.655	3.50654
180.617	3.5031
180.204	3.49975
179.883	3.49186
179.24	3.48172
179.102	3.48111
178.921	3.47905
178.754	3.46089
178.251	3.45654
177.91	3.45515
177.72	3.45426
177.58	3.43477
177.039	3.43142
176.695	3.41776
176.466	3.41207
175.624	3.40578
175.586	3.40438
175.233	3.39863
174.946	3.39436
174.89	3.3928
174.78	3.39145
174.203	3.39129
173.622	3.3835
172.436	3.37891
172.333	3.37802
171.753	3.37544
171.392	3.37541
170.828	3.3723
170.462	3.36898
169.745	3.36888
169.324	3.36666
169.219	3.36534
167.957	3.36526
167.837	3.35741
167.753	3.34654
167.367	3.34176
167.327	3.33955
167.324	3.33847
166.093	3.33813
165.593	3.33158
165.133	3.32347
164.766	3.32005
164.619	3.31073
163.968	3.30473
163.185	3.30028
163.147	3.29691
