ExampleB	ExampleB
Reference Pedigree	Family tree
4.49822	920.096
4.47601	914.484
4.47518	912.814
4.4735	911.362
4.43566	902.174
4.39772	898.263
4.39175	882.17
4.39051	878.412
4.38274	868.682
4.36641	866.292
4.35673	863.894
4.35384	863.162
4.35305	858.55
4.35301	855.421
4.34345	850.516
4.3323	844.186
4.32803	843.06
4.31068	840.297
4.30929	839.751
4.30814	833.04
4.30752	827.578
4.3025	822.516
4.28283	817.009
4.28174	816.99
4.2815	815.197
4.27498	813.076
4.27471	806.263
4.27351	801.631
4.26897	801.364
4.25655	797.916
4.24649	796.654
4.23426	788.33
4.23318	788.06
4.23205	787.853
4.23061	779.333
4.22509	778.182
4.22045	777.66
4.1927	776.794
4.19198	776.52
4.19095	773.596
4.17168	772.421
4.14215	770.069
4.13713	766.761
4.09724	761.535
4.08932	758.278
4.07428	757.839
4.0728	753.389
4.06879	753.08
4.06592	749.847
4.04123	747.064
4.03781	744.465
4.01158	739.861
3.97213	738.655
3.93982	738.547
3.92493	738.223
3.92451	738.07
3.91889	736.417
3.9174	731.056
3.91602	723.796
3.91563	721.326
3.91455	718.68
3.85616	716.486
3.84694	715.481
3.83065	714.57
3.82879	714.366
3.82571	711.496
3.82515	702.693
3.80796	702.327
3.80376	701.235
3.7826	697.376
3.77166	689.802
3.76077	687.062
3.75363	685.126
3.75171	684.874
3.74198	684.542
3.72381	683.604
3.72364	683.114
3.71801	678.774
3.70135	673.31
3.69382	673.117
3.67167	672.664
3.67155	666.597
3.6641	665.151
3.64428	664.678
3.6423	664.165
3.64055	661.711
3.60044	660.27
3.58539	659.612
3.57862	658.919
3.57767	655.23
3.56327	650.183
3.56196	649.18
3.55818	645.803
3.54603	639.94
3.5375	637.211
3.53012	635.347
3.50469	635.164
3.50183	634.111
3.49175	630.929
3.46993	630.361
3.46807	626.935
3.44599	623.862
3.42231	621.724
3.42095	620.544
3.42083	618.782
3.42009	617.477
3.42009	616.221
3.41785	608.178
3.41777	601.85
3.41514	599.728
3.4128	599.524
3.40527	599.061
3.4039	598.859
3.40134	598.699
3.39439	594.552
3.39274	593.868
3.37792	592.551
3.37461	587.941
3.37329	586.781
3.37106	583.16
3.36024	579.344
3.35931	577.639
3.34144	576.344
3.32854	575.507
3.32403	572.627
3.3228	569.357
3.31411	566.938
3.31375	564.617
3.3043	564.071
3.30097	562.906
3.29004	561.114
3.28073	561.1
3.28055	556.875
3.26776	555.14
3.25342	553.92
3.2359	552.557
3.22229	551.07
3.21928	549.73
3.21791	549.64
3.21071	548.972
3.20056	548.659
3.19967	547.624
3.19851	546.327
3.18816	545.342
3.1817	545.048
3.17915	544.155
3.17705	543.836
3.17039	543.294
3.17035	542.422
3.16946	541.997
3.16457	540.787
3.16165	539.921
3.16048	539.606
3.15985	539.523
3.15421	537.187
3.15254	537.14
3.15102	536.326
3.1499	536.063
3.14195	535.5
3.14171	533.669
3.13653	532.793
3.13504	530.135
3.13288	529.586
3.11845	529.583
3.10364	529.409
3.09111	527.794
3.08896	523.867
3.08606	523.568
3.0842	522.194
3.08063	522.107
3.06815	521.392
3.06728	518.083
3.06562	517.91
3.05651	515.973
3.0519	515.649
3.04351	513.458
3.0415	512.736
3.03793	509.684
3.03684	508.359
3.03587	507.819
3.03586	507.755
3.03383	507.111
3.03252	506.896
3.03007	505.113
3.02879	499.232
3.02824	499.092
3.0282	498.98
3.01403	498.116
3.00959	497.961
3.00634	496.96
3.0038	496.108
3.0007	494.577
2.99926	488.404
2.99394	487.817
2.98434	487.72
2.97962	486.292
2.96589	485.124
2.9605	482.982
2.95757	482.226
2.95441	481.253
2.95422	480.137
2.95133	480.045
2.95109	477.967
2.94057	476.66
2.93957	475.687
2.93672	470.937
2.93408	469.837
2.92946	468.647
2.92682	468.419
2.92641	468.223
2.9208	465.073
2.92052	464.738
2.91777	462.058
2.91455	462.008
2.90492	461.242
2.90324	458.165
2.89958	457.975
2.89823	457.782
2.88987	456.01
2.88745	455.522
2.88678	453.537
2.8861	453.346
2.87663	452.783
2.86854	452.116
2.86705	450.829
2.86212	449.554
2.85971	448.101
2.85767	447.987
2.85394	445.981
2.84896	445.758
2.84618	443.829
2.84558	443.596
2.84156	443.055
2.83462	441.841
2.8297	439.936
2.8256	437.892
2.82401	429.257
2.82358	423.875
2.81709	423.477
2.81534	420.417
2.81475	418.246
2.80673	417.666
2.80546	417.234
2.80164	417.137
2.79929	416.774
2.79774	414.873
2.79316	411.762
2.79235	411.272
2.7888	410.435
2.78317	409.643
2.78049	408.361
2.77867	407.608
2.77789	405.913
2.7711	405.415
2.76565	402.939
2.76217	402.185
2.75056	401.733
2.74713	399.488
2.74459	396.336
2.74359	395.249
2.74034	394.335
2.73652	393.065
2.73371	392.499
2.73266	391.797
2.73216	391.197
2.73058	389.451
2.71904	389.378
2.70912	389.366
2.70733	388.378
2.70622	385.806
2.69727	385.129
2.69572	384.647
2.68449	384.206
2.68173	382.069
2.66771	381.992
2.66253	380.775
2.66078	380.138
2.65963	379.513
2.65658	378.386
2.65566	377.833
2.64655	376.447
2.64466	375.527
2.64261	372.243
2.6411	371.783
2.63673	371.64
2.63665	371.101
2.63143	369.651
2.62863	368.458
2.62838	367.801
2.62788	366.748
2.6269	366.139
2.62206	365.506
2.62045	365.189
2.62013	363.04
2.6194	362.673
2.59551	362.574
2.59297	362.312
2.58873	358.707
2.58748	358.397
2.58713	357.883
2.58085	357.455
2.5808	355.242
2.57481	354.812
2.56757	354.453
2.56628	353.394
2.56515	352.764
2.56255	352.697
2.56055	352.682
2.55172	350.232
2.54661	350.22
2.53877	350.149
2.53363	348.919
2.53336	348.786
2.52386	348.482
2.52385	347.6
2.52141	346.542
2.51944	345.2
2.51857	344.383
2.5122	344.222
2.51184	343.887
2.50227	343.049
2.50037	342.446
2.49744	341.247
2.49578	340.297
2.49312	339.999
2.49143	338.785
2.48741	337.808
2.4863	337.306
2.48077	337.228
2.4785	336.012
2.47649	335.508
2.47513	333.78
2.47379	333.163
2.47016	332.213
2.45529	331.134
2.45257	330.315
2.45017	329.919
2.44121	329.592
2.43842	328.21
2.43759	325.243
2.43609	324.423
2.4331	324.162
2.42727	322.964
2.42674	322.132
2.42224	321.808
2.41764	320.517
2.41415	319.316
2.41411	317.841
2.41024	316.025
2.40921	314.045
2.40728	313.454
2.40542	313.373
2.40224	312.511
2.39943	310.196
2.39882	308.763
2.39742	308.486
2.38558	308.362
2.38254	308.239
2.3772	307.797
2.37546	307.787
2.37487	306.737
2.37156	306.458
2.36408	306.386
2.3623	305.474
2.35872	305.405
2.35556	304.986
2.34646	304.665
2.34303	304.262
2.34195	304.052
2.33854	303.366
2.33212	303.206
2.33179	302.436
2.32978	300.302
2.32612	299.025
2.32558	298.874
2.32374	298.554
2.32218	298.436
2.31872	298.434
2.31819	297.53
2.31522	296.021
2.3146	293.882
2.31254	293.753
2.30845	293.735
2.30673	293.428
2.30332	292.947
2.30275	292.269
2.30137	292.128
2.30125	291.256
2.29571	291.014
2.29548	290.968
2.29133	290.143
2.28738	288.501
2.28661	287.706
2.28642	287.233
2.28537	287.133
2.28387	287.094
2.28372	286.827
2.28256	286.199
2.27484	286.06
2.26476	285.822
2.26435	285.271
2.25794	284.611
2.25611	284.371
2.24887	282.771
2.24082	282.579
2.23992	281.219
2.23628	280.662
2.2348	280.248
2.2282	277.683
2.22772	276.813
2.22762	275.656
2.22677	275.443
2.22455	273.843
2.22118	273.783
2.22	273.714
2.21833	273.164
2.21827	272.668
2.20761	272.291
2.20644	271.923
2.20497	271.907
2.20068	270.845
2.19924	269.133
2.19827	268.601
2.19629	268.54
2.19495	267.298
2.19472	267.086
2.19119	265.33
2.18811	265.091
2.18688	264.78
2.18431	264.71
2.18369	263.243
2.18161	262.876
2.1815	262.704
2.17181	262.306
2.16999	261.487
2.16588	261.083
2.16372	261.056
2.16163	260.521
2.1608	259.934
2.1564	259.813
2.15637	258.314
2.15489	258.22
2.1517	257.39
2.15078	255.137
2.14753	254.95
2.14389	252.746
2.1438	252.496
2.13878	252.312
2.13685	252.103
2.13165	251.624
2.12807	250.874
2.12659	249.675
2.12481	249.29
2.12441	249.235
2.12314	248.682
2.11993	248.564
2.11453	247.626
2.11428	247.546
2.10888	247.546
2.10297	247.494
2.10235	247.405
2.10182	246.946
2.10144	246.898
2.09725	246.77
2.09576	245.919
2.09533	245.267
2.08823	245.246
2.08799	245.133
2.08368	245.04
2.07653	244.707
2.07498	243.191
2.07272	241.921
2.07253	241.895
2.07085	241.649
2.0695	241.562
2.0679	241.248
2.06253	241.019
2.06204	240.309
2.06162	240.164
2.06153	239.917
2.05699	239.753
2.05102	238.809
2.05067	238.208
2.04903	237.898
2.04716	236.271
2.04148	236.1
2.04056	235.34
2.03869	235.021
2.03793	234.704
2.03401	234.314
2.03019	234.003
2.02987	233.733
2.02482	233.707
2.0248	232.496
2.02135	232.312
2.02031	231.136
2.01883	231.052
2.01873	230.138
2.01655	230.091
2.0162	229.442
2.01429	228.882
2.01236	228.319
2.01227	228.007
2.00845	227.971
2.00228	227.41
2.00189	227.088
2.0014	226.649
2.00039	226.64
1.99635	226.112
1.99406	225.449
1.99032	225.363
1.98994	224.604
1.98616	223.716
1.98158	223.138
1.97971	223.018
1.97846	223.016
1.97714	220.434
1.97617	220.388
1.97424	220.265
1.97202	220.22
1.97119	220.168
1.96761	219.871
1.96594	219.751
1.96588	219.552
1.96504	219.547
1.96078	218.675
1.95835	217.364
1.95471	217.002
1.95354	216.913
1.95075	216.911
1.95046	216.828
1.94724	216.586
1.94354	216.433
1.94078	216.24
1.93769	215.59
1.93545	215.462
1.93527	215.418
1.93139	215.227
1.93036	215.062
1.92881	214.963
1.92683	214.664
1.92554	214.511
1.91851	214.496
1.91533	214.015
1.91528	213.867
1.91072	213.825
1.91056	213.739
1.90625	213.614
1.90211	213.553
1.90045	213.263
1.90031	211.746
1.8978	211.661
1.8975	210.038
1.89712	209.221
1.89405	208.879
1.89339	207.795
1.89259	207.627
1.88621	206.708
1.88219	206.622
1.88071	206.504
1.87359	206.42
1.87329	206.242
1.87191	205.164
1.87102	204.962
1.86793	204.012
1.86753	203.58
1.86713	203.321
1.86348	202.834
1.86288	202.753
1.86009	202.746
1.85936	202.413
1.85906	202.156
1.85903	201.968
1.85756	201.915
1.85351	201.773
1.85273	201.257
1.85079	200.698
1.84542	200.065
1.84359	200.005
1.84189	199.842
1.84146	198.913
1.8409	198.556
1.84085	198.024
1.8374	197.924
1.83684	197.639
1.83621	197.553
1.83565	197.197
1.82471	196.724
1.82358	196.474
1.81849	196.303
1.81833	195.71
1.81808	195.269
1.81771	194.879
1.81673	194.025
1.81502	193.891
1.81383	193.268
1.81178	193.215
1.81027	193.106
1.80896	192.664
1.80886	192.573
1.80835	192.282
1.80783	191.969
1.80294	191.544
1.80107	191.467
1.80096	190.789
1.8001	189.986
1.79276	189.713
1.79235	189.599
1.79144	188.965
1.79126	188.59
1.78962	187.936
1.78781	187.408
1.78694	187.276
1.78645	186.821
1.78547	186.7
1.78228	186.384
1.78035	186.094
1.77984	185.787
1.77816	185.741
1.77452	185.563
1.77398	185.049
1.77172	184.757
1.77091	184.635
1.77047	184.525
1.76517	184.436
1.76471	183.555
1.76098	183.549
1.75915	183.221
1.75866	182.335
1.75739	182.198
1.7571	182.031
1.75692	181.944
1.75599	181.942
1.75569	181.802
1.75494	181.769
1.75178	181.521
1.75174	181.282
1.75018	181.17
1.745	180.078
1.74474	180.007
1.74066	179.81
1.74032	179.417
1.73968	179.015
1.73931	177.966
1.73847	177.542
1.73832	177.522
1.73825	177.128
1.73028	176.516
1.72913	176.465
1.72863	176.29
1.72497	175.873
1.71966	175.794
1.71766	175.427
1.71669	175.421
1.71602	175.362
1.71502	175.281
1.71396	174.881
1.71033	174.872
1.71003	174.507
1.70977	174.174
1.7088	173.505
1.70746	172.532
1.70644	172.526
1.70639	172.406
1.70632	171.906
1.7046	171.846
1.70454	171.524
1.70374	171.292
1.70278	171.273
1.69631	171.158
1.69564	170.246
1.69549	170.228
1.69491	170.176
1.6927	169.267
1.69225	168.905
1.68974	168.47
1.68912	168.226
1.6875	167.35
1.68302	167.281
1.68218	167.254
1.6821	167.131
1.67982	166.752
1.6763	166.313
1.67593	166.227
1.67174	165.526
1.67151	165.328
1.67139	165.304
1.67089	165.026
1.6706	164.257
1.6698	163.87
1.66957	163.868
1.66656	163.503
1.66548	162.791
1.66429	162.664
1.66349	162.591
1.66254	162.547
1.66142	162.449
1.66054	162.266
1.66027	162.236
1.6602	162.163
1.65577	162.043
1.65503	161.739
1.65257	161.65
1.65221	161.569
1.65115	161.216
1.6511	160.919
1.65048	160.597
1.64987	160.499
1.64954	160.486
1.64753	160.47
1.64711	160.243
1.64608	159.425
1.64494	159.008
1.64468	158.686
1.64394	158.354
1.64281	158.053
1.64243	157.876
1.63875	157.218
1.63794	156.831
1.63747	156.649
1.63695	156.629
1.63528	155.867
1.63447	155.412
1.63445	155.217
1.6333	155.112
1.63059	155.096
1.62943	154.755
1.62878	154.628
1.62772	153.114
1.62371	152.773
1.62228	152.307
1.62175	152.107
1.62087	151.567
1.62058	151.032
1.61966	150.891
1.61941	150.85
1.61608	150.738
1.616	150.438
1.61558	150.411
1.61352	150.354
1.61316	150.348
1.61075	150.31
1.61031	149.7
1.61006	149.293
1.61004	149.237
1.60991	148.841
1.60891	148.266
1.60661	147.901
1.60374	147.859
1.60316	147.395
1.60314	147.251
1.60287	147.241
1.60167	147.231
1.59902	147.121
1.59864	146.413
1.59393	146.408
1.59243	145.634
1.59142	145.307
1.58731	145.127
1.58503	144.939
1.58501	144.73
1.58293	144.702
1.57565	144.539
1.5755	144.172
1.5744	143.836
1.57313	143.592
1.57079	143.477
1.5705	143.447
1.56753	143.434
1.56542	143.338
1.56497	142.599
1.5644	142.551
1.56336	142.13
1.55597	142.042
1.55341	141.752
1.55311	141.682
1.55277	140.88
1.55174	140.809
1.5506	140.774
1.54929	140.481
1.54863	140.441
1.54782	140.04
1.54632	140.03
1.54627	139.872
1.54626	139.251
1.54584	139.062
1.54375	139.025
1.54309	139.014
1.54071	138.702
1.5396	138.659
1.53701	138.524
1.53625	138.474
1.53596	138.433
1.53418	137.976
1.53331	137.546
1.5276	137.395
1.52625	136.948
1.5225	136.835
1.52021	136.626
1.5171	136.51
1.51442	135.745
1.51439	135.674
1.51332	135.52
1.51266	135.475
1.51186	135.457
1.51117	135.263
1.50916	135.255
1.50798	135.234
1.50653	135.182
1.50605	134.907
1.502	134.701
1.50173	134.62
1.50136	134.554
1.49897	134.469
1.49878	134.242
1.49872	134.214
1.49817	134.147
1.4902	133.947
1.48695	133.776
1.48384	133.647
1.4812	133.591
1.48097	133.396
1.47772	133.047
1.4767	132.905
1.47535	132.494
1.47383	132.48
1.47286	132.31
1.472	132.118
1.46967	132.053
1.46876	132.002
1.46875	131.606
1.46842	131.301
1.46582	131.073
1.46489	130.696
1.46425	130.659
1.46391	130.486
1.46312	130.478
1.46086	129.503
1.45944	129.454
1.45771	129.132
1.45761	129.082
1.45739	129.009
1.45723	128.918
1.45547	128.626
1.45479	128.611
1.44763	128.447
1.44743	128.348
1.4468	128.169
1.44638	127.874
1.44565	127.367
1.44542	127.365
1.44468	127.365
1.44364	127.25
1.44319	127.225
1.44304	126.995
1.43983	126.918
1.43955	126.707
1.4382	126.612
1.4377	126.545
1.43419	125.755
1.43396	125.701
1.43391	125.356
1.43283	125.323
1.43243	124.933
1.4294	124.802
1.42879	124.064
1.42722	123.837
1.42408	123.27
1.42127	123.242
1.41858	123.198
1.4167	122.885
1.4157	122.78
1.4145	122.611
1.41392	122.58
1.41377	122.408
1.41216	122.402
1.41203	122.398
1.41014	122.359
1.40893	122.341
1.4089	122.2
1.40628	121.638
1.40309	121.432
1.4023	121.32
1.40127	121.254
1.40127	120.949
1.40028	120.766
1.3988	120.65
1.39472	120.596
1.39467	120.594
1.39353	120.551
1.39021	120.242
1.3897	120.049
1.38962	119.893
1.38677	119.821
1.38616	119.609
1.38525	119.595
1.38369	119.566
1.38364	118.528
1.3832	118.395
1.3826	118.318
1.38254	118.302
1.38254	118.219
1.3824	118.081
1.38205	118.03
1.38135	117.882
1.38134	117.795
1.37978	117.43
1.37969	117.414
1.37857	117.329
1.37743	117.192
1.37674	117.176
1.37523	116.662
1.37521	116.585
1.37335	116.305
1.37168	115.681
1.36948	115.541
1.36913	115.325
1.36839	115.31
1.3682	115.13
1.36784	114.891
1.36633	114.822
1.36514	114.771
1.36395	114.579
1.36357	114.444
1.36333	114.163
1.36332	113.982
1.36313	113.835
1.36306	113.833
1.36254	113.756
1.36145	113.676
1.36139	113.532
1.36108	113.432
1.35917	113.065
1.35896	113.059
1.35867	112.927
1.35844	112.921
1.35817	112.768
1.35814	112.762
1.35788	112.424
1.35544	112.417
1.35537	112.343
1.35481	111.965
1.35449	111.302
1.35399	111.26
1.35398	111.237
1.35354	111.121
1.35302	110.949
1.35242	110.641
1.35019	110.376
1.34973	110.319
1.34918	110.309
1.34538	110.298
1.3446	109.807
1.3441	109.514
1.34308	109.29
1.34236	109.273
1.34226	109.134
1.34166	109.064
1.33987	108.868
1.33936	108.341
1.33841	108.34
1.3378	108.337
1.33718	107.86
1.33488	107.695
1.33276	107.497
1.33219	107.286
1.332	107.225
1.33199	107.048
1.33152	107.013
1.33111	106.745
1.32859	106.573
1.3282	106.557
1.32748	105.835
1.32504	105.698
