ExampleD	ExampleD
Reference Pedigree	Family tree
0.0999941	58497200
0.0990677	58216600
0.0984742	58002300
0.0966398	57985100
0.0938178	57975700
0.0931619	57842200
0.0931007	57597400
0.0930153	57357900
0.0919479	56378100
0.0919349	55819300
0.0917425	55408000
0.091111	55369300
0.0910767	54839300
0.0909881	54591400
0.0894658	54247300
0.0893385	54008200
0.0886284	53078400
0.086123	52605000
0.085035	52479500
0.0849404	52092500
0.0848495	51622700
0.0841864	51328500
0.0841346	50558200
0.0838771	50386900
0.0838151	50285400
0.0832194	49923500
0.0832106	49876500
0.0823374	49785400
0.0807807	49397600
0.0804909	49311400
0.0801558	49100600
0.0794433	48373300
0.078286	48186700
0.076432	47750600
0.0764239	47587400
0.0762038	47081600
0.0760146	47024700
0.0756895	46722500
0.0755203	46514500
0.0749074	46149000
0.0734176	45912300
0.0729647	45551000
0.0721104	45391700
0.0710551	44739700
0.0710271	44164900
0.0705785	43950100
0.0692866	43753100
0.0691789	43326900
0.0680199	42659400
0.0679408	42612600
0.0673658	42470300
0.0668999	42386100
0.0660634	42286500
0.0660466	42206800
0.0658919	42197700
0.0648063	41546400
0.0640192	41367100
0.0639332	41287200
0.0637347	41167700
0.0636637	40948400
0.0629082	40559400
0.062886	40292600
0.0626178	39959700
0.0625469	39761100
0.0622224	39699700
0.0620606	39401200
0.0615647	39378500
0.0609742	39149200
0.0609321	38994700
0.060828	38968100
0.0605315	38466200
0.0603867	38010100
0.0602273	37915900
0.0600641	37785000
0.0598454	37777000
0.0597138	37749900
0.0595583	37606700
0.0592711	37480400
0.0592156	37431000
0.0589187	37307300
0.0588131	37275400
0.05755	37111100
0.057362	37108700
0.0572523	37093000
0.0569152	36915200
0.0566183	36442500
0.0565824	36440800
0.0564428	35866200
0.0562605	35329400
0.0559704	35326700
0.0552694	35257000
0.0548754	35130200
0.054767	35104400
0.0546742	34683200
0.0543819	34083200
0.053871	34061900
0.05384	34035300
0.0530225	33951000
0.0528336	33775000
0.0523205	33697600
0.0520506	33384800
0.0515594	33212900
0.0512703	33021000
0.0509741	32929500
0.050935	32888600
0.0504166	32782100
0.050344	32756700
0.0501272	32673100
0.0497173	32671300
0.049482	32439500
0.0485014	32346700
0.0482698	32263600
0.048126	32245900
0.0481019	32190500
0.0477738	32060600
0.0477721	31681900
0.0476455	31658000
0.0474313	31353200
0.0472633	31137000
0.046945	30799600
0.0464692	30787200
0.046466	30604000
0.0461863	30553800
0.0461715	30335700
0.0459728	30184700
0.0458167	30086100
0.0457497	30050200
0.0456205	29933700
0.0454717	29885300
0.0454489	29710100
0.0454338	29708400
0.0451384	29476700
0.0450898	29400600
0.04494	29349000
0.0447491	29185400
0.0444485	29121100
0.0444294	29044000
0.0442786	28937200
0.0441148	28603800
0.0440077	28492000
0.0438151	28459400
0.0433289	28415900
0.0432418	28387800
0.0431933	28228300
0.0431742	28138300
0.0429719	27873500
0.0428688	27745000
0.0428114	27741700
0.0425804	27472000
0.0425134	27246800
0.0423721	27070700
0.0421373	26861900
0.0420165	26825800
0.0419062	26763300
0.041779	26708100
0.0417478	26567800
0.0416462	26452300
0.0415818	26318400
0.0415044	26299100
0.0409596	26288400
0.0407623	26274000
0.040417	26200800
0.040413	26086400
0.0401488	26085000
0.0396271	25966900
0.0395031	25961600
0.0391813	25610900
0.0387745	25518200
0.0387321	25511100
0.0386896	25482700
0.0386204	25284300
0.0385699	25177800
0.0383138	25094700
0.0381817	25071200
0.0378435	25002100
0.0377775	24995700
0.0377675	24954900
0.0375244	24930600
0.0375242	24906600
0.0372156	24860400
0.0371784	24749600
0.0371626	24684100
0.036951	24665100
0.036681	24594100
0.0364582	24508400
0.0363433	24454100
0.0362142	24345000
0.0362008	24253600
0.0359163	23839600
0.0358177	23800900
0.0357816	23516400
0.0354835	23502000
0.0352555	23241100
0.0349343	23061100
0.034783	23014100
0.0345418	23003800
0.0343457	23000900
0.0342512	22909300
0.0339864	22777200
0.0339017	22766600
0.0337848	22739300
0.0336977	22682300
0.0336711	22528600
0.0333233	22383500
0.0332365	22288400
0.0331734	22257800
0.0329244	22213500
0.032778	21687300
0.0325397	21651600
0.0319121	21603500
0.0316965	21569400
0.0316759	21458500
0.0316675	21442100
0.0316301	21344800
0.0314878	21295400
0.0312634	21254200
0.0311483	21192000
0.0307066	21167800
0.0305042	20778600
0.0304839	20776100
0.0300607	20723200
0.0299903	20694600
0.0298822	20625800
0.0297797	20615500
0.0293879	20566800
0.0293712	20530500
0.0293329	20338400
0.0292442	20305000
0.0290845	20143300
0.0290513	20094200
0.0288057	20085800
0.0287947	20072700
0.0287759	19961400
0.0285209	19900600
0.0284887	19816000
0.0284747	19786500
0.0282048	19724400
0.0281788	19662300
0.0281376	19607500
0.0280774	19550200
0.0278664	19525500
0.027752	19475200
0.0277497	19472800
0.0277401	19422900
0.0275835	19376000
0.0275382	19374400
0.0272722	19359700
0.0269599	19255800
0.0268749	19180300
0.0268097	19175300
0.0266168	19160500
0.0265275	19160200
0.0265103	19144300
0.0265047	18978200
0.0264908	18891800
0.0264073	18806000
0.0264019	18701700
0.0262977	18700400
0.0261405	18675100
0.0261059	18607600
0.0261052	18586400
0.0259874	18525700
0.0259062	18419000
0.0258669	18393800
0.0257602	18370300
0.0257376	18353100
0.0257183	18335500
0.025403	18174600
0.0251129	18135400
0.0249888	18084000
0.0249541	18065300
0.0247537	18058300
0.0243254	18031700
0.0239799	17959400
0.0238669	17951600
0.0238444	17942600
0.0236431	17910200
0.0236281	17846400
0.0233767	17751500
0.0233682	17619900
0.0233387	17497900
0.0232812	17455100
0.0232547	17420800
0.0231643	17350000
0.0230399	17185800
0.0229737	17168900
0.0229561	17091000
0.0229041	16998300
0.0228659	16951100
0.0227775	16849300
0.0227303	16827000
0.0226032	16814100
0.0225956	16812200
0.0225628	16782900
0.022453	16769900
0.0223483	16740600
0.0223107	16702100
0.0222242	16678600
0.0221995	16662700
0.0221962	16594200
0.022137	16522400
0.0221044	16519800
0.0220948	16511000
0.0220743	16489600
0.0219804	16460100
0.0218413	16289600
0.0218315	16278000
0.0217573	16268500
0.0216002	16214800
0.0215022	16197700
0.0214812	16153900
0.0214474	16140600
0.0214441	16026100
0.0214158	16000200
0.0214087	15826100
0.0213625	15734900
0.021238	15692000
0.0212325	15412900
0.0211532	15409400
0.021144	15400700
0.0209773	15361000
0.0208717	15328400
0.0208176	15224700
0.0207839	15026700
0.0207092	15004500
0.0206855	14959700
0.0205553	14958600
0.0204738	14950700
0.0204546	14839000
0.0204202	14821700
0.0203274	14675500
0.0203046	14650000
0.020172	14510500
0.0201449	14508300
0.020067	14441700
0.0199569	14356900
0.0199141	14230900
0.0199062	14216000
0.0198893	14159900
0.0198015	14083200
0.0197027	14082700
0.0196742	13988400
0.0194173	13966700
0.0193534	13899800
0.0192653	13819700
0.0191181	13732300
0.0191109	13722100
0.018997	13693400
0.0189925	13691400
0.0189908	13623200
0.0188683	13618800
0.0188548	13611300
0.0185987	13580700
0.0185358	13569000
0.0185015	13553700
0.0184567	13475300
0.0184296	13441000
0.0184256	13421800
0.0179742	13400200
0.0179706	13384900
0.0178012	13383900
0.0177561	13379400
0.0176221	13234100
0.0175758	13204500
0.0173847	13087700
0.0172953	13071500
0.017249	13068400
0.0172437	12971100
0.017156	12958900
0.0171341	12957900
0.0171258	12916300
0.0171237	12905800
0.0171187	12877700
0.0171092	12865900
0.017066	12820200
0.0169065	12776700
0.0167838	12748000
0.016694	12702300
0.0166688	12672500
0.0166306	12651600
0.0165126	12650800
0.0165031	12646400
0.0164912	12640200
0.0163423	12549100
